id,source_id,target_id,relation_type,direction,description,status,evidence,notes,tags
REL-ARCH-001,FEAT-ARCH-EVIDENCE-SYSTEM,DOC-ARCH-EVIDENCE-SYSTEM,documented_by,outbound,Evidence system is governed by its architecture source doc.,verified,docs/architecture/architecture-evidence-system.md,,#docs
REL-ARCH-002,SCRIPT-ARCH-GRAPH-GENERATOR,CSV-NODES,reads,outbound,Generator reads node registry.,verified,scripts/generate-architecture-graph.mjs,,#tooling
REL-ARCH-003,SCRIPT-ARCH-GRAPH-GENERATOR,CSV-RELATIONS,reads,outbound,Generator reads dependency relation registry.,verified,scripts/generate-architecture-graph.mjs,,#tooling
REL-ARCH-004,SCRIPT-ARCH-GRAPH-GENERATOR,CSV-CHAINS,reads,outbound,Generator reads function chain registry.,verified,scripts/generate-architecture-graph.mjs,,#tooling
REL-ARCH-005,TEST-ARCH-GRAPH,SCRIPT-ARCH-GRAPH-GENERATOR,executes,outbound,Architecture graph test runs the generator.,verified,package.json,,#test
REL-MGMT-001,PAGE-12-MANAGEMENT-DEPARTMENTS,COMP-MANAGEMENT-ROUTE,renders,outbound,Management page renders the ManagementRoute component.,verified,web/src/app-route-registry.ts,,#frontend
REL-MGMT-002,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-LIST,calls,outbound,Management route reads department catalog.,verified,web/src/features/departments/management-route.tsx,,#frontend #api
REL-MGMT-003,COMP-MANAGEMENT-ROUTE,API-DEPARTMENTS-CREATE,calls,outbound,Management route creates custom departments.,verified,web/src/features/departments/management-route.tsx,,#frontend #api
REL-MGMT-004,API-DEPARTMENTS-LIST,DB-WORKSPACE-DEPARTMENTS,reads,outbound,Department list reads workspace_departments.,verified,src/modules/departments/departments.routes.ts,,#backend #database
REL-MGMT-005,API-DEPARTMENTS-CREATE,DB-WORKSPACE-DEPARTMENTS,writes,outbound,Department create writes workspace_departments.,verified,src/modules/departments/departments.routes.ts,,#backend #database
REL-MGMT-006,COMP-SHELL,API-DEPARTMENTS-LIST,calls,outbound,Authenticated shell reads catalog-backed department navigation.,verified,web/src/layout/shell.tsx,,#frontend #navigation
REL-OPS-001,PAGE-04-OPERATIONS-TASKS,COMP-OPERATIONS-ROUTE,renders,outbound,Operations page renders OperationsRoute.,verified,web/src/app-route-registry.ts,,#frontend
REL-OPS-002,COMP-OPERATIONS-ROUTE,API-OPERATIONS-WORK-ITEMS,calls,outbound,Operations route reads work items.,verified,web/src/features/departments/operations-route.tsx,,#frontend #api
REL-OPS-003,COMP-OPERATIONS-ROUTE,API-OPERATIONS-CREATE-WORK-ITEM,calls,outbound,Operations route creates work items.,verified,web/src/features/departments/operations-route.tsx,,#frontend #api
REL-OPS-004,COMP-OPERATIONS-ROUTE,API-OPERATIONS-UPDATE-WORK-ITEM,calls,outbound,Operations route updates work items.,verified,web/src/features/departments/operations-route.tsx,,#frontend #api
REL-OPS-005,API-OPERATIONS-WORK-ITEMS,DB-TASK,reads,outbound,Operations read packet reads tasks.,verified,src/modules/operations/operations.routes.ts,,#backend #database
REL-OPS-006,API-OPERATIONS-CREATE-WORK-ITEM,DB-TASK,writes,outbound,Operations create command writes tasks.,verified,src/modules/operations/operations.routes.ts,,#backend #database
REL-OPS-007,API-OPERATIONS-CREATE-WORK-ITEM,EVENT-OPERATIONS-WORK-ITEM-CREATED,emits,outbound,Operations create emits event evidence.,verified,src/modules/operations/operations.routes.ts,,#event
REL-DASH-001,PAGE-00-GENERAL,COMP-GENERAL-DASHBOARD,renders,outbound,General page renders dashboard component.,verified,web/src/app-route-registry.ts,,#frontend
REL-DASH-002,COMP-GENERAL-DASHBOARD,API-DASHBOARD-COMMAND,calls,outbound,Dashboard component reads command packet.,verified,web/src/features/departments/general-dashboard.tsx,,#frontend #api
REL-DASH-003,API-DASHBOARD-COMMAND,DB-TASK,reads,outbound,Dashboard packet reads task pressure.,verified,src/modules/dashboard/dashboard.routes.ts,,#backend #database
REL-DASH-004,API-DASHBOARD-COMMAND,DB-WORKFORCE-ENTITY,reads,outbound,Dashboard packet reads workforce pressure.,verified,src/modules/dashboard/dashboard.routes.ts,,#backend #database
REL-DASH-005,API-DASHBOARD-COMMAND,DB-GOOGLE-DRIVE-FILE,reads,outbound,Dashboard packet reads Drive mapping pressure.,verified,src/modules/dashboard/dashboard.routes.ts,,#backend #database
REL-WF-001,PAGE-06-PEOPLE-AGENTS,COMP-PEOPLE-AGENTS-ROUTE,renders,outbound,People/Agents page renders workforce route.,verified,web/src/app-route-registry.ts,,#frontend
REL-WF-002,COMP-PEOPLE-AGENTS-ROUTE,API-WORKFORCE-LIST,calls,outbound,People/Agents route reads workforce.,verified,web/src/features/departments/people-agents-route.tsx,,#frontend #api
REL-WF-003,API-WORKFORCE-LIST,DB-WORKFORCE-ENTITY,reads,outbound,Workforce list reads workforce entities.,verified,src/modules/workforce/workforce.routes.ts,,#backend #database
REL-ASSETS-001,PAGE-08-ASSETS-FILES,COMP-ASSETS-ROUTE,renders,outbound,Assets files page renders Assets route.,verified,web/src/app-route-registry.ts,,#frontend
REL-ASSETS-002,COMP-ASSETS-ROUTE,API-ASSETS-CONTEXT,calls,outbound,Assets route reads context packet.,verified,web/src/features/departments/assets-route.tsx,,#frontend #api
REL-ASSETS-003,API-ASSETS-CONTEXT,DB-GOOGLE-DRIVE-FILE,reads,outbound,Assets context reads Drive file records.,verified,src/modules/assets/assets.routes.ts,,#backend #database
