id,name,type,status,layer,module,feature,description,file_path,related_files,parent_id,child_ids,depends_on,used_by,ui_related,api_related,database_related,tests_related,docs_related,agent_related,risk_level,completion_percent,last_verified_at,verification_status,notes,tags
PIPE-AUTO-0001,Adapter Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/adapter-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0002,Agent Training Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/agent-training-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0003,Build Architecture Chain Hardening Worklist,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/build-architecture-chain-hardening-worklist.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0004,Build Architecture Evidence Worklist,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/build-architecture-evidence-worklist.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0005,Build Architecture Health Dashboard,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/build-architecture-health-dashboard.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0006,Check Architecture Chain Coverage,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/check-architecture-chain-coverage.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0007,Check Architecture Chain Integrity,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/check-architecture-chain-integrity.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0008,Check Architecture Evidence Gate,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/check-architecture-evidence-gate.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0009,Check Architecture Node Integrity,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/check-architecture-node-integrity.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0010,Check Route Capabilities,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/check-route-capabilities.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0011,Clean React Build,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/clean-react-build.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0012,Clickup Production Bootstrap,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/clickup-production-bootstrap.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0013,Company Os Lifecycle Trace Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/company-os-lifecycle-trace-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0014,Companycore Ai Ready Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/companycore-ai-ready-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0015,Companycore Mcp Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/companycore-mcp-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0016,Google Drive Production Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/google-drive-production-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0017,Operating Model Registry Lifecycle Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/operating-model-registry-lifecycle-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0018,Owner Console Ux Smoke,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/owner-console-ux-smoke.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0019,Sync Architecture Chains,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/sync-architecture-chains.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0020,Sync Architecture Evidence Status,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/sync-architecture-evidence-status.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0021,Sync Architecture Extended Registry,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/sync-architecture-extended-registry.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0022,Sync Architecture Feature Coverage,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/sync-architecture-feature-coverage.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
PIPE-AUTO-0023,Sync Architecture Node Verification,pipeline,implemented,backend,architecture,architecture-evidence,Auto-synchronized pipeline node from repository source.,scripts/sync-architecture-node-verification.mjs,,FEAT-ARCH-EVIDENCE-SYSTEM,,,,,,,,,,medium,0,2026-05-24,tested,Auto-generated by sync-architecture-extended-registry.,#pipeline #auto
