ID,Module,Submodule,Mode,Layer,Capability,Scenario / child function,Expected behavior,Local status,Local evidence,Target status,Target evidence,Confidence,Risk,Priority,Owner,Next verification,Last verified,Notes
AUTH-001,auth,owner registration,WEB + API,API + DB,Workspace bootstrap,Register owner and workspace,Registration creates user workspace and owner membership atomically,PASS,"src/modules/auth/auth.routes.ts; src/tests/api.test.ts",PASS,"docs/operations/v1-release-readiness.md; protected production smoke",High,Access and ownership boundary,P0,Backend,Keep in integration and release smoke,2026-05-10,
AUTH-002,auth,owner login,WEB + API,API,Login,Valid credentials,Owner receives bearer token and auth context,PASS,"src/modules/auth/auth.routes.ts; src/tests/api.test.ts",PASS,"docs/operations/v1-release-readiness.md",High,Access control,P0,Backend,Keep login in smoke,2026-05-10,
AUTH-003,auth,current user,API,API,Session introspection,GET /auth/me,Authenticated caller sees safe user and workspace context,PASS,"src/modules/auth/auth.routes.ts",COVERED_LOCAL,"covered by connection/auth flow; no separate latest target proof",Medium,Operator support,P1,Backend,Add explicit /auth/me smoke only if auth changes,2026-05-10,
AUTH-004,auth,workspace guardrails,API,API + DB,Cross-workspace isolation,Protected reads and writes resolve workspace from auth,COVERED_LOCAL,"src/auth/api-key.middleware.ts; src/tests/api.test.ts",PARTIAL,"Production smoke uses one workspace; no multi-workspace target sample",Medium,Data leakage,P0,Backend + QA,Add disposable multi-workspace local regression scenario,2026-05-10,
KEY-001,api keys,service keys,WEB + API,API + DB,Create scoped service key,Owner creates one-time raw service key with scopes/profile,PASS,"src/modules/api-keys/api-keys.routes.ts; AGRUN-005",PASS,"production Agent CRUD smoke noted in docs/operations/v1-operator-handoff.md",High,Agent access and secret handling,P0,Backend,Keep API key creation in protected smoke,2026-05-10,
KEY-002,api keys,mcp profiles,WEB + API,API + UI,MCP profile selection,Owner loads canonical profiles and creates profile key,PASS,"src/auth/agent-key-profiles.ts; web/src/main.tsx; MCP-003 MCP-004",COVERED_LOCAL,"No latest production UI proof after React areas work",Medium,Wrong agent permissions,P1,Backend + Frontend,Run /settings/api profile UI smoke before next release,2026-05-10,
KEY-003,api keys,capability enforcement,API,API,Scoped key deny/allow,Service key only accesses routes allowed by scopes,PASS,"src/auth/capabilities.ts; src/tests/api.test.ts; AGRUN-002",PASS,"Agent CRUD production smoke returned scoped capabilities",High,Unauthorized agent writes,P0,Backend,Keep denied-route tests current,2026-05-10,
MCP-001,mcp,manifest,API,API,MCP manifest,GET /v1/mcp/manifest exposes capability-scoped tool catalog,PASS,"src/modules/mcp/mcp.routes.ts; src/mcp/manifest.ts; MCP-001",PASS,"MCP-005 smoke harness with profile-created key",High,Agent tool discovery,P0,Backend,Run npm run mcp:smoke before agent rollout,2026-05-10,
MCP-002,mcp,stdio bridge,AGENT,script + API,MCP bridge server,Bridge lists tools and calls CompanyCore HTTP API,PASS,"scripts/companycore-mcp-server.mjs; scripts/companycore-mcp-smoke.mjs",COVERED_LOCAL,"MCP smoke documented; target runtime key must be rerun per deployment",High,Agents bypassing policy boundary,P0,Backend + Ops,Run target MCP smoke with final service key,2026-05-10,
MCP-003,mcp,runtime setup,DOCS,docs,Agent runtime onboarding,Codex/Paperclip/generic MCP setup is documented,PASS,"docs/operations/mcp-agent-runtime-setup.md",NOT_APPLICABLE,"Documentation artifact only",High,Operator misconfiguration,P1,Docs,Update when profile list or bridge env changes,2026-05-10,
CONN-001,connection,agent contract,API,API,Connection discovery,GET /v1/connection returns workspace capabilities integrations operating model and MCP manifest,PASS,"src/modules/connection/connection.routes.ts; AGRUN-003",PASS,"Protected production connection smoke in v1 readiness docs",High,Agent capability discovery,P0,Backend,Keep in smoke,2026-05-10,
CONN-002,connection,route metadata,API,API,Machine-readable API contract,Agents can inspect route payload and error metadata,PASS,"src/auth/capabilities.ts; AGRUN-003",COVERED_LOCAL,"No latest target sample after MCP additions",Medium,Agents guessing payloads,P1,Backend,Sample manifest route metadata in next MCP smoke,2026-05-10,
CCOS-DEF-001,company-os,definition graph,DB + API,DB,Process pipeline procedure model,Stage 1 Company OS definitions exist and are seeded,PASS,"prisma/schema.prisma; prisma/seed.ts; CCOS-001",COVERED_LOCAL,"No production proof after 2026-05-09 Company OS expansion",High,Company OS foundation,P0,DB + Backend,Run target /v1/company-os smoke after deploy,2026-05-10,
