id,node_id,implementation_proof,test_proof,runtime_proof,connection_proof,documentation_proof,overall_status,last_verified_at,missing_evidence,next_action
EVID-ARCH-001,FEAT-ARCH-EVIDENCE-SYSTEM,docs/architecture/architecture-evidence-system.md,npm run architecture:refresh,docs/graphs/project-graph.mmd;docs/status/architecture-drift-report.md;docs/status/architecture-sync-report.json;docs/status/architecture-relation-enrichment-report.json,docs/architecture/relations/dependencies.csv,docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-MGMT-001,FEAT-MGMT-DEPT-CATALOG,docs/planning/management-department-catalog-task-contract.md,npm run test:api:local,Browser proof for 13 Marketing Lab,docs/architecture/chains/chains.csv,docs/planning/management-department-catalog-task-contract.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-OPS-001,FEAT-OPERATIONS-WORK-ITEMS,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,npm run test:api:local,Playwright rendered proof,docs/architecture/chains/chains.csv,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-DASH-001,FEAT-DASHBOARD-COMMAND,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,npm run test:api:local,Playwright rendered proof,docs/architecture/chains/chains.csv,docs/planning/dashboard-operations-workforce-foundation-task-contract.md,verified,2026-05-20,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-WF-001,FEAT-PEOPLE-AGENTS-DIRECTORY,docs/planning/people-agents-directory-premium-ux-task-contract.md,npm run test:api:local,Playwright rendered proof,docs/architecture/chains/chains.csv,docs/planning/people-agents-directory-premium-ux-task-contract.md,verified,2026-05-19,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-ASSETS-001,FEAT-ASSETS-CONTEXT,docs/planning/cc-08-002-assets-context-read-api-task-contract.md,npm run validate,Playwright rendered proof,docs/architecture/chains/chains.csv,docs/planning/cc-08-002-assets-context-read-api-task-contract.md,tested,2026-05-17,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00001,DOC-ARCH-EVIDENCE-SYSTEM,docs/architecture/architecture-evidence-system.md,TEST-ARCH-GRAPH;npm run architecture:graph,docs/status/architecture-evidence-summary.md,DOC-ARCH-SOURCE-OF-TRUTH;AGENT-COORDINATOR,DOC-ARCH-SOURCE-OF-TRUTH;docs/architecture/architecture-evidence-system.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00002,SCRIPT-ARCH-GRAPH-GENERATOR,scripts/generate-architecture-graph.mjs,TEST-ARCH-GRAPH;npm run architecture:graph,npm run architecture:refresh,CSV-NODES;CSV-RELATIONS;CSV-CHAINS;CSV-TESTS;AGENT-COORDINATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00003,CSV-NODES,docs/architecture/nodes/nodes.csv,TEST-ARCH-GRAPH;npm run architecture:graph,npm run architecture:refresh,DOC-ARCH-EVIDENCE-SYSTEM;SCRIPT-ARCH-GRAPH-GENERATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00004,CSV-RELATIONS,docs/architecture/relations/dependencies.csv,TEST-ARCH-GRAPH;npm run architecture:graph,npm run architecture:refresh,CSV-NODES;SCRIPT-ARCH-GRAPH-GENERATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00005,CSV-CHAINS,docs/architecture/chains/chains.csv,TEST-ARCH-GRAPH;npm run architecture:graph,npm run architecture:refresh,CSV-NODES;SCRIPT-ARCH-GRAPH-GENERATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00006,CSV-TESTS,docs/testing/test-map.csv,TEST-ARCH-GRAPH;npm run architecture:graph,npm run architecture:refresh,CSV-NODES;SCRIPT-ARCH-GRAPH-GENERATOR,DOC-ARCH-EVIDENCE-SYSTEM;docs/architecture/architecture-evidence-system.md,tested,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
EVID-AUTO-00007,DOC-ARCH-SOURCE-OF-TRUTH,docs/architecture/architecture-source-of-truth.md,npm run architecture:refresh,docs/status/architecture-evidence-summary.md,AGENT-COORDINATOR,DOC-ARCH-README;docs/architecture/architecture-source-of-truth.md,verified,2026-05-24,,Evidence set complete; promote to tested or verified after targeted checks.
