node_id,node_name,type,module,feature,status,risk_score,impact_score,impact_delta,transitive_out_count,reasons
AGENT-COORDINATOR,Coordinator agent role,agent,agents,agent-workflow,verified,475,470,1,344,impact_delta:1;high_transitive_impact;wide_change_surface
FEAT-AUTO-0020,Operating Model Coverage Expansion,feature,operating-model,operating-model-coverage,implemented,207,207,0,142,high_transitive_impact;wide_change_surface
TEST-API-LOCAL,npm run test:api:local,test,cross-app,cross-app,verified,197,197,0,111,high_transitive_impact;wide_change_surface
FEAT-AUTO-0006,Company Os Coverage Expansion,feature,company-os,company-os-coverage,implemented,186,186,0,135,high_transitive_impact;wide_change_surface
FEAT-ARCH-EVIDENCE-SYSTEM,Architecture Evidence System,feature,architecture,architecture-evidence,implemented,178,163,3,58,impact_delta:3;high_transitive_impact;wide_change_surface
FEAT-ASSETS-CONTEXT,Assets Context Workbench,feature,assets,assets-context,verified,176,176,0,111,high_transitive_impact;wide_change_surface
FEAT-AUTO-0015,Integration Settings Coverage Expansion,feature,integration-settings,integration-settings-coverage,implemented,165,165,0,128,high_transitive_impact;wide_change_surface
COMP-SHELL,Authenticated Shell component,component,shell,cross-app,verified,160,160,0,111,high_transitive_impact;wide_change_surface
FEAT-PEOPLE-AGENTS-DIRECTORY,People and Agents Directory,feature,workforce,people-agents-directory,verified,150,150,0,111,high_transitive_impact;wide_change_surface
FEAT-OPERATIONS-WORK-ITEMS,Operations Work Items,feature,operations,operations-work-items,verified,144,144,0,111,high_transitive_impact;wide_change_surface
FEAT-AUTO-0013,Google Drive Coverage Expansion,feature,google-drive,google-drive-coverage,implemented,144,144,0,121,high_transitive_impact;wide_change_surface
DB-TASK,Task model,database_model,operations,operations-work-items,verified,143,143,0,111,high_transitive_impact;wide_change_surface
FEAT-DASHBOARD-COMMAND,Dashboard Command Packet,feature,dashboard,dashboard-command,verified,142,142,0,111,high_transitive_impact;wide_change_surface
FEAT-AUTO-0028,Tasks Coverage Expansion,feature,tasks,tasks-coverage,implemented,141,141,0,120,high_transitive_impact;wide_change_surface
FEAT-MGMT-DEPT-CATALOG,Management Department Catalog,feature,management,management-department-catalog,verified,138,138,0,111,high_transitive_impact;wide_change_surface
DB-WORKFORCE-ENTITY,workforce_entities model,database_model,workforce,people-agents-directory,verified,138,138,0,111,high_transitive_impact;wide_change_surface
COMP-OPERATIONS-ROUTE,OperationsRoute component,component,operations,operations-work-items,verified,135,135,0,111,high_transitive_impact;wide_change_surface
COMP-MANAGEMENT-ROUTE,ManagementRoute component,component,management,management-department-catalog,verified,134,134,0,111,high_transitive_impact;wide_change_surface
DB-GOOGLE-DRIVE-FILE,google_drive_files model,database_model,assets,assets-context,verified,134,134,0,111,high_transitive_impact;wide_change_surface
DB-WORKSPACE-DEPARTMENTS,workspace_departments model,database_model,departments,management-department-catalog,verified,133,133,0,111,high_transitive_impact;wide_change_surface
API-DASHBOARD-COMMAND,GET /v1/dashboard/command,api_route,dashboard,dashboard-command,verified,133,133,0,111,high_transitive_impact;wide_change_surface
API-DEPARTMENTS-LIST,GET /v1/departments,api_route,departments,management-department-catalog,verified,132,132,0,111,high_transitive_impact;wide_change_surface
COMP-GENERAL-DASHBOARD,GeneralDashboard component,component,dashboard,dashboard-command,verified,132,132,0,111,high_transitive_impact;wide_change_surface
FEAT-AUTO-0003,Agents Coverage Expansion,feature,agents,agents-coverage,implemented,132,132,0,117,high_transitive_impact;wide_change_surface
FEAT-AUTO-0004,Clients Coverage Expansion,feature,clients,clients-coverage,implemented,132,132,0,117,high_transitive_impact;wide_change_surface
